    Template Location,Accuray,No of Header,No of Records,Percentage_of_Record,Percentage_of_attribute,Comments
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_key_chain.template,100,5,1,100,20,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_logging.template,100,1,4,25,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_physical_interface_config.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_running_config_include_tacas.textfsm,100,3,1,100,33.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp_summary.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_facility-alarm_status.template,100,5,5,20,4,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_logging.template,100,1,8,12.5,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_physical_interface_config.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_community.template,100,4,2,50,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp_summary.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_facility-alarm_status.template,100,5,8,12.5,2.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_key_chain.template,100,5,1,100,20,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_logging.template,100,1,4,25,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_physical_interface_config.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_running_config_include_tacas.textfsm,100,3,1,100,33.3333333333,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_archive.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interface_transceiver.template,100,5,1,100,20,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp_summary.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_processes_cpu.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_community.template,100,4,2,50,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_version.template,100,8,1,100,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ptp_clock_running_domain_0.template,100,2,1,100,50,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_logging.template,100,1,8,12.5,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_bgp_all_summary.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_archive.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_interface_transceiver.template,100,5,1,100,20,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_arp.template,100,5,2,50,10,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_bgp_summary.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_processes_cpu.template,100,4,1,100,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_version.template,100,8,1,100,12.5,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_logging.template,100,1,4,25,25,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_bgp_all_summary.template,100,1,1,100,100,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_clock.template,100,6,1,100,16.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_inventory.template,100,5,3,33.3333333333,6.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_arp.template,100,5,3,33.3333333333,6.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_isis_protocol.template,100,11,2,50,4.5454545455,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_host.template,100,6,3,33.3333333333,5.5555555556,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_clock.template,100,6,1,100,16.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_isis_protocol.template,100,11,1,100,9.0909090909,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_clock.textfsm,100,6,1,100,16.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_inventory.template,100,5,3,33.3333333333,6.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_clock.textfsm,100,6,1,100,16.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license_detail.template,100,2,9,11.1111111111,5.5555555556,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_clock.textfsm,100,6,1,100,16.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_inventory.template,100,5,3,33.3333333333,6.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_clock.textfsm,100,6,1,100,16.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_license_detail.template,100,2,9,11.1111111111,5.5555555556,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_clock.template,100,6,1,100,16.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_inventory.template,100,5,3,33.3333333333,6.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_ip_arp.template,100,5,3,33.3333333333,6.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_isis_protocol.template,100,11,2,50,4.5454545455,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_snmp_host.template,100,6,3,33.3333333333,5.5555555556,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_clock.template,100,6,1,100,16.6666666667,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_isis_protocol.template,100,11,1,100,9.0909090909,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_capability_feature_routing.template,100,2,83,1.2048192771,0.6024096386,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_inventory.template,100,5,9,11.1111111111,2.2222222222,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_inventory.template,100,5,9,11.1111111111,2.2222222222,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_inventory.template,100,5,9,11.1111111111,2.2222222222,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_capability_feature_routing.template,100,2,83,1.2048192771,0.6024096386,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_show_inventory.template,100,5,9,11.1111111111,2.2222222222,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_dir.template,100,8,56,1.7857142857,0.2232142857,
/var/www/html/CloseLoopMonitoringPython/cisco_templates/cisco_xe_dir.template,100,8,56,1.7857142857,0.2232142857,
