RP/0/RP0/CPU0:EBD-BHA-MPL-LTE-PE-RTR-34-123# sh ip int br
Bundle-Ether1.3813             10.39.128.222   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3814             10.39.160.222   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3815             10.39.144.222   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3834             10.39.135.62    Shutdown        Down     NASIK-LTE-DATA-M
Bundle-Ether1.3835             10.39.167.62    Shutdown        Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3836             10.39.151.62    Shutdown        Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3867             10.39.142.206   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3868             10.39.174.206   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3869             10.39.158.206   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3900             10.88.113.206   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3901             10.88.117.206   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3902             10.88.121.206   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether1.3936             10.88.112.94    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether1.3937             10.88.116.94    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether1.3938             10.88.120.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1030             100.84.166.94   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1031             100.84.198.94   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1032             100.67.38.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1070             100.83.143.222  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1071             100.83.175.222  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1072             100.67.143.222  Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1104             100.84.184.94   Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1105             100.84.216.94   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1106             100.67.56.94    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1107             100.84.184.110  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1108             100.84.216.110  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1109             100.67.56.110   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1110             100.84.184.126  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1111             100.84.216.126  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1112             100.67.56.126   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1113             100.84.184.142  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1114             100.84.216.142  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1115             100.67.56.142   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1119             100.84.184.174  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1120             100.84.216.174  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1121             100.67.56.174   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1125             100.84.184.222  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1126             100.84.216.222  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1127             100.67.56.222   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1131             100.84.186.238  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1132             100.84.218.238  Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1133             100.67.58.238   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1134             100.85.4.206    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1135             100.85.20.206   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1136             100.85.36.206   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1137             100.85.4.222    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1138             100.85.20.222   Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.1139             100.85.36.222   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1140             100.85.4.238    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1141             100.85.20.238   Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.1142             100.85.36.238   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1143             100.85.4.254    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1144             100.85.20.254   Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.1145             100.85.36.254   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1146             100.85.5.14     Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1147             100.85.21.14    Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.1148             100.85.37.14    Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1152             100.81.247.110  Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1153             100.82.23.110   Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1154             100.82.55.110   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1389             10.64.55.158    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1478             10.64.61.174    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1498             10.64.54.142    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1501             10.64.13.142    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1530             10.64.33.65     Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1676             10.64.33.161    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1680             10.88.69.174    Up              Down     NAGPUR-LTE-Data-User-M
Bundle-Ether2.1681             10.88.85.174    Up              Down     NAGPUR-LTE-Signalling-Control-M
Bundle-Ether2.1682             10.88.101.174   Up              Down     NAGPUR-LTE-OnM-Management-M
Bundle-Ether2.1684             10.88.75.222    Up              Down     NASIK-LTE-DATA-M
Bundle-Ether2.1685             10.88.91.222    Up              Down     NASIK-LTE-Signalling-Control-M
Bundle-Ether2.1686             10.88.107.222   Up              Down     NASIK-LTE-OnM-Management-M
Bundle-Ether2.1698             10.64.33.225    Up              Down     MAH-GOA-MW-ONM
Bundle-Ether2.1711             10.64.33.241    Up              Down     MAH-GOA-MW-ONM
